Device Id,Title,Price Range,Storage,Storage Id,Storage Unit,Min Price,Max Price,Before Promo Price,Base Min Price,Variation Id,Color Title,Color Variation Id,Has Stock,Sku,Has Device Variation Stock,Subscription
96322,iPhone 13 mini,,128,569,GO,120,815,0,,96316,Midnight,96313,True,13643,True,L+
96322,iPhone 13 mini,,128,569,GO,120,815,0,,96316,Starlight,96314,False,13644,True,L+
96322,iPhone 13 mini,,128,569,GO,120,815,0,,96316,Blue,96316,False,13646,True,L+
96322,iPhone 13 mini,,256,1284,GO,228,939,0,,96320,Midnight,96317,True,13647,True,L+
96322,iPhone 13 mini,,256,1284,GO,228,939,0,,96320,Starlight,96318,False,13648,True,L+
96322,iPhone 13 mini,,256,1284,GO,228,939,0,,96320,Pink,98205,False,13649,True,L+
96322,iPhone 13 mini,,256,1284,GO,228,939,0,,96320,Blue,96320,False,13650,True,L+
96322,iPhone 13 mini,,512,1842,GO,433,1175,0,,96321,Midnight,96321,False,13651,True,L+
96288,iPhone 13,,128,569,GO,209,919,0,,96281,Midnight,96277,True,13631,True,L+
96288,iPhone 13,,128,569,GO,209,919,0,,96281,Starlight,96278,True,13632,True,L+
96288,iPhone 13,,128,569,GO,209,919,0,,96281,Pink,107396,True,13633,True,L+
96288,iPhone 13,,128,569,GO,209,919,0,,96281,Red,96280,True,13634,True,L+
96288,iPhone 13,,128,569,GO,209,919,0,,96281,Blue,96281,True,13635,True,L+
96288,iPhone 13,,256,1284,GO,317,1045,0,,96286,Midnight,96282,True,13636,True,L+
96288,iPhone 13,,256,1284,GO,317,1045,0,,96286,Starlight,96283,True,13637,True,L+
96288,iPhone 13,,256,1284,GO,317,1045,0,,96286,Pink,96284,True,13638,True,L+
96288,iPhone 13,,256,1284,GO,317,1045,0,,96286,Red,96285,True,13639,True,L+
96288,iPhone 13,,256,1284,GO,317,1045,0,,96286,Blue,96286,True,13640,True,L+
96288,iPhone 13,,512,1842,GO,523,1279,0,,96287,Midnight,96287,False,13641,True,L+
96354,iPhone 13 Pro,,128,569,GO,433,1175,0,,96346,Silver,96344,True,13653,True,L+
96354,iPhone 13 Pro,,128,569,GO,433,1175,0,,96346,Graphite,96343,False,13652,True,L+
96354,iPhone 13 Pro,,128,569,GO,433,1175,0,,96346,Gold,96345,True,13654,True,L+
96354,iPhone 13 Pro,,128,569,GO,433,1175,0,,96346,Sierra blue,96346,True,13655,True,L+
96354,iPhone 13 Pro,,256,1284,GO,540,1298,0,,96350,Graphite,96347,True,13656,True,L+
96354,iPhone 13 Pro,,256,1284,GO,540,1298,0,,96350,Silver,96348,True,13657,True,L+
96354,iPhone 13 Pro,,256,1284,GO,540,1298,0,,96350,Gold,96349,True,13658,True,L+
96354,iPhone 13 Pro,,256,1284,GO,540,1298,0,,96350,Sierra blue,96350,True,13659,True,L+
96354,iPhone 13 Pro,,512,1842,GO,746,1535,0,,96352,Graphite,96351,True,13660,True,L+
96354,iPhone 13 Pro,,512,1842,GO,746,1535,0,,96352,Sierra blue,96352,True,13661,True,L+
96354,iPhone 13 Pro,,1,1894,TO,951,1771,0,,96353,Graphite,96353,True,13662,True,L+
96390,iPhone 13 Pro Max,,128,569,GO,523,1279,0,,96382,Graphite,96379,True,13663,True,L+
96390,iPhone 13 Pro Max,,128,569,GO,523,1279,0,,96382,Silver,96380,True,13664,True,L+
96390,iPhone 13 Pro Max,,128,569,GO,523,1279,0,,96382,Gold,96381,True,13665,True,L+
96390,iPhone 13 Pro Max,,128,569,GO,523,1279,0,,96382,Sierra blue,96382,True,13666,True,L+
96390,iPhone 13 Pro Max,,256,1284,GO,629,1405,0,,96386,Graphite,96383,True,13667,True,L+
96390,iPhone 13 Pro Max,,256,1284,GO,629,1405,0,,96386,Silver,96384,True,13668,True,L+
96390,iPhone 13 Pro Max,,256,1284,GO,629,1405,0,,96386,Gold,96385,True,13669,True,L+
96390,iPhone 13 Pro Max,,256,1284,GO,629,1405,0,,96386,Sierra blue,96386,True,13670,True,L+
96390,iPhone 13 Pro Max,,512,1842,GO,835,1639,0,,96388,Graphite,96387,True,13671,True,L+
96390,iPhone 13 Pro Max,,512,1842,GO,835,1639,0,,96388,Sierra blue,96388,True,13672,True,L+
96390,iPhone 13 Pro Max,,1,1894,TO,1041,1875,0,,96389,Graphite,96389,True,13673,True,L+
92988,Galaxy Z Flip3 5G,,256,1284,GO,401,1139,0,,95489,Black,95486,True,13543,True,L+
92988,Galaxy Z Flip3 5G,,256,1284,GO,401,1139,0,,95489,White,95487,False,13544,True,L+
92988,Galaxy Z Flip3 5G,,256,1284,GO,401,1139,0,,95489,Green,95488,False,13545,True,L+
92988,Galaxy Z Flip3 5G,,256,1284,GO,401,1139,0,,95489,Purple,95489,False,13546,True,L+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1032,1865,0,,97719,Green,97718,True,13548,True,L+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1032,1865,0,,97719,Black,97717,False,13547,True,L+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1032,1865,0,,97719,Silver,97719,True,13549,True,L+
36149,iPhone 12,,64,567,GO,120,815,0,,95337,Black,95336,True,13295,True,L+
36149,iPhone 12,,64,567,GO,120,815,0,,95337,White,95337,True,13296,True,L+
36149,iPhone 12,,128,569,GO,165,869,0,,112249,Black,112249,True,13300,True,L+
36284,iPhone 12 Pro,,256,1284,GO,540,1299,0,,100785,Graphite,100783,True,13314,True,L+
36284,iPhone 12 Pro,,256,1284,GO,540,1299,0,,100785,Pacific Blue,100785,True,13317,True,L+
36284,iPhone 12 Pro,,512,1842,GO,746,1535,0,,95367,Graphite,100786,True,13318,True,L+
36284,iPhone 12 Pro,,512,1842,GO,746,1535,0,,95367,Silver,95367,True,13319,True,L+
42463,iPhone 12 Pro Max,,256,1284,GO,629,1405,0,,95417,Graphite,95417,True,13358,True,L+
78049,A74 5G,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True,L+
77995,Reno 4Z 5G,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True,L+
100412,4,,256,1284,GO,11,689,0,,112613,Grey,112613,True,13687,True,L+
104827,iPhone 11,,64,567,GO,0,589,0,,104826,Black,104826,False,13337,True,L+
104827,iPhone 11,,128,569,GO,0,645,0,,112252,Black,112252,True,13338,True,L+
108765,Galaxy S21 FE 5G,,128,569,GO,86,779,0,,108764,Graphite,108761,True,13698,True,L+
108765,Galaxy S21 FE 5G,,128,569,GO,86,779,0,,108764,White,108762,True,13699,True,L+
108765,Galaxy S21 FE 5G,,128,569,GO,86,779,0,,108764,Green,108763,True,13700,True,L+
108765,Galaxy S21 FE 5G,,128,569,GO,86,779,0,,108764,Purple,108764,False,13701,True,L+
97330,Reno 6 5G,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True,L+
97324,Galaxy A03S,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True,L+
112256,11T,,128,569,GO,0,534,0,,112255,Grey,112255,True,13709,True,L+
91835,Find X3 Neo 5G,,256,1284,GO,68,755,0,,95483,Black,95483,False,13536,False,L+
93039,X10,,64,567,GO,0,289,0,,95534,Green,95534,True,13568,True,L+
60232,Galaxy A32 5G,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True,L+
77977,Galaxy Xcover 5,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True,L+
78031,Mi 11 Lite 5G,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True,L+
91827,Galaxy A22 5G,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True,L+
91827,Galaxy A22 5G,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True,L+
92939,P Smart 2021,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False,L+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True,L+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True,L+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True,L+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True,L+
93021,8050,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True,L+
96322,iPhone 13 mini,,128,569,GO,260,815,0,,96316,Midnight,96313,True,13643,True,M+
96322,iPhone 13 mini,,128,569,GO,260,815,0,,96316,Starlight,96314,False,13644,True,M+
96322,iPhone 13 mini,,128,569,GO,260,815,0,,96316,Blue,96316,False,13646,True,M+
96322,iPhone 13 mini,,256,1284,GO,368,939,0,,96320,Midnight,96317,True,13647,True,M+
96322,iPhone 13 mini,,256,1284,GO,368,939,0,,96320,Starlight,96318,False,13648,True,M+
96322,iPhone 13 mini,,256,1284,GO,368,939,0,,96320,Pink,98205,False,13649,True,M+
96322,iPhone 13 mini,,256,1284,GO,368,939,0,,96320,Blue,96320,False,13650,True,M+
96322,iPhone 13 mini,,512,1842,GO,573,1175,0,,96321,Midnight,96321,False,13651,True,M+
96288,iPhone 13,,128,569,GO,349,919,0,,96281,Midnight,96277,True,13631,True,M+
96288,iPhone 13,,128,569,GO,349,919,0,,96281,Starlight,96278,True,13632,True,M+
96288,iPhone 13,,128,569,GO,349,919,0,,96281,Pink,107396,True,13633,True,M+
96288,iPhone 13,,128,569,GO,349,919,0,,96281,Red,96280,True,13634,True,M+
96288,iPhone 13,,128,569,GO,349,919,0,,96281,Blue,96281,True,13635,True,M+
96288,iPhone 13,,256,1284,GO,457,1045,0,,96286,Midnight,96282,True,13636,True,M+
96288,iPhone 13,,256,1284,GO,457,1045,0,,96286,Starlight,96283,True,13637,True,M+
96288,iPhone 13,,256,1284,GO,457,1045,0,,96286,Pink,96284,True,13638,True,M+
96288,iPhone 13,,256,1284,GO,457,1045,0,,96286,Red,96285,True,13639,True,M+
96288,iPhone 13,,256,1284,GO,457,1045,0,,96286,Blue,96286,True,13640,True,M+
96288,iPhone 13,,512,1842,GO,663,1279,0,,96287,Midnight,96287,False,13641,True,M+
96354,iPhone 13 Pro,,128,569,GO,573,1175,0,,96346,Silver,96344,True,13653,True,M+
96354,iPhone 13 Pro,,128,569,GO,573,1175,0,,96346,Graphite,96343,False,13652,True,M+
96354,iPhone 13 Pro,,128,569,GO,573,1175,0,,96346,Gold,96345,True,13654,True,M+
96354,iPhone 13 Pro,,128,569,GO,573,1175,0,,96346,Sierra blue,96346,True,13655,True,M+
96354,iPhone 13 Pro,,256,1284,GO,680,1298,0,,96350,Graphite,96347,True,13656,True,M+
96354,iPhone 13 Pro,,256,1284,GO,680,1298,0,,96350,Silver,96348,True,13657,True,M+
96354,iPhone 13 Pro,,256,1284,GO,680,1298,0,,96350,Gold,96349,True,13658,True,M+
96354,iPhone 13 Pro,,256,1284,GO,680,1298,0,,96350,Sierra blue,96350,True,13659,True,M+
96354,iPhone 13 Pro,,512,1842,GO,886,1535,0,,96352,Graphite,96351,True,13660,True,M+
96354,iPhone 13 Pro,,512,1842,GO,886,1535,0,,96352,Sierra blue,96352,True,13661,True,M+
96354,iPhone 13 Pro,,1,1894,TO,1091,1771,0,,96353,Graphite,96353,True,13662,True,M+
96390,iPhone 13 Pro Max,,128,569,GO,663,1279,0,,96382,Graphite,96379,True,13663,True,M+
96390,iPhone 13 Pro Max,,128,569,GO,663,1279,0,,96382,Silver,96380,True,13664,True,M+
96390,iPhone 13 Pro Max,,128,569,GO,663,1279,0,,96382,Gold,96381,True,13665,True,M+
96390,iPhone 13 Pro Max,,128,569,GO,663,1279,0,,96382,Sierra blue,96382,True,13666,True,M+
96390,iPhone 13 Pro Max,,256,1284,GO,769,1405,0,,96386,Graphite,96383,True,13667,True,M+
96390,iPhone 13 Pro Max,,256,1284,GO,769,1405,0,,96386,Silver,96384,True,13668,True,M+
96390,iPhone 13 Pro Max,,256,1284,GO,769,1405,0,,96386,Gold,96385,True,13669,True,M+
96390,iPhone 13 Pro Max,,256,1284,GO,769,1405,0,,96386,Sierra blue,96386,True,13670,True,M+
96390,iPhone 13 Pro Max,,512,1842,GO,975,1639,0,,96388,Graphite,96387,True,13671,True,M+
96390,iPhone 13 Pro Max,,512,1842,GO,975,1639,0,,96388,Sierra blue,96388,True,13672,True,M+
96390,iPhone 13 Pro Max,,1,1894,TO,1181,1875,0,,96389,Graphite,96389,True,13673,True,M+
92988,Galaxy Z Flip3 5G,,256,1284,GO,541,1139,0,,95489,Black,95486,True,13543,True,M+
92988,Galaxy Z Flip3 5G,,256,1284,GO,541,1139,0,,95489,White,95487,False,13544,True,M+
92988,Galaxy Z Flip3 5G,,256,1284,GO,541,1139,0,,95489,Green,95488,False,13545,True,M+
92988,Galaxy Z Flip3 5G,,256,1284,GO,541,1139,0,,95489,Purple,95489,False,13546,True,M+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1172,1865,0,,97719,Green,97718,True,13548,True,M+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1172,1865,0,,97719,Black,97717,False,13547,True,M+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1172,1865,0,,97719,Silver,97719,True,13549,True,M+
36149,iPhone 12,,64,567,GO,260,815,0,,95337,Black,95336,True,13295,True,M+
36149,iPhone 12,,64,567,GO,260,815,0,,95337,White,95337,True,13296,True,M+
36149,iPhone 12,,128,569,GO,305,869,0,,112249,Black,112249,True,13300,True,M+
36284,iPhone 12 Pro,,256,1284,GO,680,1299,0,,100785,Graphite,100783,True,13314,True,M+
36284,iPhone 12 Pro,,256,1284,GO,680,1299,0,,100785,Pacific Blue,100785,True,13317,True,M+
36284,iPhone 12 Pro,,512,1842,GO,886,1535,0,,95367,Graphite,100786,True,13318,True,M+
36284,iPhone 12 Pro,,512,1842,GO,886,1535,0,,95367,Silver,95367,True,13319,True,M+
42463,iPhone 12 Pro Max,,256,1284,GO,769,1405,0,,95417,Graphite,95417,True,13358,True,M+
78049,A74 5G,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True,M+
77995,Reno 4Z 5G,,128,569,GO,0,299,0,,95465,Black,95465,True,13495,True,M+
100412,4,,256,1284,GO,151,689,0,,112613,Grey,112613,True,13687,True,M+
104827,iPhone 11,,64,567,GO,64,589,0,,104826,Black,104826,False,13337,True,M+
104827,iPhone 11,,128,569,GO,108,645,0,,112252,Black,112252,True,13338,True,M+
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Graphite,108761,True,13698,True,M+
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,White,108762,True,13699,True,M+
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Green,108763,True,13700,True,M+
108765,Galaxy S21 FE 5G,,128,569,GO,226,779,0,,108764,Purple,108764,False,13701,True,M+
97330,Reno 6 5G,,128,569,GO,0,505,0,,97329,Black,97329,True,13620,True,M+
97324,Galaxy A03S,,32,565,GO,0,149,0,,97323,Black,97323,True,13619,True,M+
112256,11T,,128,569,GO,15,534,0,,112255,Grey,112255,True,13709,True,M+
91835,Find X3 Neo 5G,,256,1284,GO,208,755,0,,95483,Black,95483,False,13536,False,M+
93039,X10,,64,567,GO,0,289,25,,95534,Green,95534,True,13568,True,M+
60232,Galaxy A32 5G,,128,569,GO,0,295,0,,95456,Black,95456,True,13415,True,M+
77977,Galaxy Xcover 5,,64,567,GO,0,289,0,,95459,Black,95459,True,13454,True,M+
78031,Mi 11 Lite 5G,,128,569,GO,0,389,0,,95469,Green,95469,True,13558,True,M+
91827,Galaxy A22 5G,,128,569,GO,0,245,0,,95478,Black,95477,True,13531,True,M+
91827,Galaxy A22 5G,,128,569,GO,0,245,0,,95478,Purple,95478,True,13532,True,M+
92939,P Smart 2021,,128,569,GO,0,225,0,,95531,Black,95531,False,13565,False,M+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Green,95519,True,13561,True,M+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Purple,95520,True,13562,True,M+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,Black,95521,True,13563,True,M+
93126,Galaxy A52 S 5G,,128,569,GO,0,45,0,,95522,White,95522,True,13564,True,M+
93021,8050,,16,563,GO,0,219,0,,97320,Graphite,97320,True,13560,True,M+
96322,iPhone 13 mini,,128,569,GO,300,815,0,,96316,Midnight,96313,True,13643,True,S+
96322,iPhone 13 mini,,128,569,GO,300,815,0,,96316,Starlight,96314,False,13644,True,S+
96322,iPhone 13 mini,,128,569,GO,300,815,0,,96316,Blue,96316,False,13646,True,S+
96322,iPhone 13 mini,,256,1284,GO,408,939,0,,96320,Midnight,96317,True,13647,True,S+
96322,iPhone 13 mini,,256,1284,GO,408,939,0,,96320,Starlight,96318,False,13648,True,S+
96322,iPhone 13 mini,,256,1284,GO,408,939,0,,96320,Pink,98205,False,13649,True,S+
96322,iPhone 13 mini,,256,1284,GO,408,939,0,,96320,Blue,96320,False,13650,True,S+
96322,iPhone 13 mini,,512,1842,GO,613,1175,0,,96321,Midnight,96321,False,13651,True,S+
96288,iPhone 13,,128,569,GO,389,919,0,,96281,Midnight,96277,True,13631,True,S+
96288,iPhone 13,,128,569,GO,389,919,0,,96281,Starlight,96278,True,13632,True,S+
96288,iPhone 13,,128,569,GO,389,919,0,,96281,Pink,107396,True,13633,True,S+
96288,iPhone 13,,128,569,GO,389,919,0,,96281,Red,96280,True,13634,True,S+
96288,iPhone 13,,128,569,GO,389,919,0,,96281,Blue,96281,True,13635,True,S+
96288,iPhone 13,,256,1284,GO,497,1045,0,,96286,Midnight,96282,True,13636,True,S+
96288,iPhone 13,,256,1284,GO,497,1045,0,,96286,Starlight,96283,True,13637,True,S+
96288,iPhone 13,,256,1284,GO,497,1045,0,,96286,Pink,96284,True,13638,True,S+
96288,iPhone 13,,256,1284,GO,497,1045,0,,96286,Red,96285,True,13639,True,S+
96288,iPhone 13,,256,1284,GO,497,1045,0,,96286,Blue,96286,True,13640,True,S+
96288,iPhone 13,,512,1842,GO,703,1279,0,,96287,Midnight,96287,False,13641,True,S+
96354,iPhone 13 Pro,,128,569,GO,613,1175,0,,96346,Silver,96344,True,13653,True,S+
96354,iPhone 13 Pro,,128,569,GO,613,1175,0,,96346,Graphite,96343,False,13652,True,S+
96354,iPhone 13 Pro,,128,569,GO,613,1175,0,,96346,Gold,96345,True,13654,True,S+
96354,iPhone 13 Pro,,128,569,GO,613,1175,0,,96346,Sierra blue,96346,True,13655,True,S+
96354,iPhone 13 Pro,,256,1284,GO,720,1298,0,,96350,Graphite,96347,True,13656,True,S+
96354,iPhone 13 Pro,,256,1284,GO,720,1298,0,,96350,Silver,96348,True,13657,True,S+
96354,iPhone 13 Pro,,256,1284,GO,720,1298,0,,96350,Gold,96349,True,13658,True,S+
96354,iPhone 13 Pro,,256,1284,GO,720,1298,0,,96350,Sierra blue,96350,True,13659,True,S+
96354,iPhone 13 Pro,,512,1842,GO,926,1535,0,,96352,Graphite,96351,True,13660,True,S+
96354,iPhone 13 Pro,,512,1842,GO,926,1535,0,,96352,Sierra blue,96352,True,13661,True,S+
96354,iPhone 13 Pro,,1,1894,TO,1131,1771,0,,96353,Graphite,96353,True,13662,True,S+
96390,iPhone 13 Pro Max,,128,569,GO,703,1279,0,,96382,Graphite,96379,True,13663,True,S+
96390,iPhone 13 Pro Max,,128,569,GO,703,1279,0,,96382,Silver,96380,True,13664,True,S+
96390,iPhone 13 Pro Max,,128,569,GO,703,1279,0,,96382,Gold,96381,True,13665,True,S+
96390,iPhone 13 Pro Max,,128,569,GO,703,1279,0,,96382,Sierra blue,96382,True,13666,True,S+
96390,iPhone 13 Pro Max,,256,1284,GO,809,1405,0,,96386,Graphite,96383,True,13667,True,S+
96390,iPhone 13 Pro Max,,256,1284,GO,809,1405,0,,96386,Silver,96384,True,13668,True,S+
96390,iPhone 13 Pro Max,,256,1284,GO,809,1405,0,,96386,Gold,96385,True,13669,True,S+
96390,iPhone 13 Pro Max,,256,1284,GO,809,1405,0,,96386,Sierra blue,96386,True,13670,True,S+
96390,iPhone 13 Pro Max,,512,1842,GO,1015,1639,0,,96388,Graphite,96387,True,13671,True,S+
96390,iPhone 13 Pro Max,,512,1842,GO,1015,1639,0,,96388,Sierra blue,96388,True,13672,True,S+
96390,iPhone 13 Pro Max,,1,1894,TO,1221,1875,0,,96389,Graphite,96389,True,13673,True,S+
92988,Galaxy Z Flip3 5G,,256,1284,GO,581,1139,0,,95489,Black,95486,True,13543,True,S+
92988,Galaxy Z Flip3 5G,,256,1284,GO,581,1139,0,,95489,White,95487,False,13544,True,S+
92988,Galaxy Z Flip3 5G,,256,1284,GO,581,1139,0,,95489,Green,95488,False,13545,True,S+
92988,Galaxy Z Flip3 5G,,256,1284,GO,581,1139,0,,95489,Purple,95489,False,13546,True,S+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1212,1865,0,,97719,Green,97718,True,13548,True,S+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1212,1865,0,,97719,Black,97717,False,13547,True,S+
93002,Galaxy Z Fold3 5G,,256,1284,GO,1212,1865,0,,97719,Silver,97719,True,13549,True,S+
36149,iPhone 12,,64,567,GO,300,815,0,,95337,Black,95336,True,13295,True,S+
36149,iPhone 12,,64,567,GO,300,815,0,,95337,White,95337,True,13296,True,S+
36149,iPhone 12,,128,569,GO,345,869,0,,112249,Black,112249,True,13300,True,S+
36284,iPhone 12 Pro,,256,1284,GO,720,1299,0,,100785,Graphite,100783,True,13314,True,S+
36284,iPhone 12 Pro,,256,1284,GO,720,1299,0,,100785,Pacific Blue,100785,True,13317,True,S+
36284,iPhone 12 Pro,,512,1842,GO,926,1535,0,,95367,Graphite,100786,True,13318,True,S+
36284,iPhone 12 Pro,,512,1842,GO,926,1535,0,,95367,Silver,95367,True,13319,True,S+
42463,iPhone 12 Pro Max,,256,1284,GO,809,1405,0,,95417,Graphite,95417,True,13358,True,S+
78049,A74 5G,,128,569,GO,0,299,0,,95474,Black,95474,True,13500,True,S+
77995,Reno 4Z 5G,,128,569,GO,0,299,75,,95465,Black,95465,True,13495,True,S+
100412,4,,256,1284,GO,191,689,0,,112613,Grey,112613,True,13687,True,S+
104827,iPhone 11,,64,567,GO,104,589,0,,104826,Black,104826,False,13337,True,S+
104827,iPhone 11,,128,569,GO,148,645,0,,112252,Black,112252,True,13338,True,S+
108765,Galaxy S21 FE 5G,,128,569,GO,266,779,0,,108764,Graphite,108761,True,13698,True,S+
108765,Galaxy S21 FE 5G,,128,569,GO,266,779,0,,108764,White,108762,True,13699,True,S+
